Escola,Etapa,Ano,Matemática,Língua Portuguesa,N,P,Aprovação Geral,1º,2º,3º,4º,5º,6º,7º,8º,9º,IDEB,Meta IDEB,Origem Meta,Diferença para Meta,Situação Meta,Nível Matemática,Nível Língua Portuguesa,Padrão Matemática,Padrão Língua Portuguesa
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2005,189.77,188.72,5.016861,0.892924,89.3,,93.7,86.8,84.3,93.1,,,,,4.5,,,,,3,3,Abaixo do básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2007,191.47,174.61,4.792788,0.894633,89.7,100.0,79.7,87.4,89.8,92.9,,,,,4.3,4.5,Original,-0.20000000000000018,Abaixo da meta,3,2,Abaixo do básico,Abaixo do básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2009,225.64,204.41,5.986705,0.914079,92.6,97.6,83.7,90.4,88.8,98.2,,,,,5.5,4.9,Original,0.5999999999999996,Acima da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2011,227.55,205.98,6.051701,0.902971,90.1,96.9,85.4,87.9,88.9,93.3,,,,,5.5,5.3,Original,0.20000000000000018,Acima da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2013,236.13,220.55,6.48035,0.940563,93.9,100.0,92.1,93.1,94.7,90.9,,,,,6.1,5.5,Original,0.5999999999999996,Acima da meta,5,4,Básico,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2015,226.81,216.57,6.230124,0.964942,96.9,100.0,100.0,89.1,100.0,94.4,,,,,6.0,5.8,Original,0.20000000000000018,Acima da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2017,231.03,224.39,6.45284,0.946075,95.3,100.0,100.0,89.1,93.9,91.1,,,,,6.1,6.1,Original,0.0,Atingiu a meta,5,4,Básico,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2019,248.38,224.71,6.789765,0.963213,96.1,98.5,95.7,92.0,95.8,100.0,,,,,6.5,6.3,Original,0.20000000000000018,Acima da meta,5,4,Adequado,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2021,227.11,217.5,6.252759,0.993642,99.4,100.0,96.9,100.0,100.0,100.0,,,,,6.2,6.5,Original,-0.2999999999999998,Abaixo da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2023,233.31,218.22,6.38417,0.979446,98.2,100.0,98.6,98.6,98.2,94.5,,,,,6.3,6.5,Referência 2021,-0.20000000000000018,Abaixo da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2025,236.58,205.38,,0.958396,96.3,97.9,88.0,97.3,98.4,98.5,,,,,6.0,6.5,Referência 2021,-0.5,Abaixo da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2005,,,,,,,,,,,,,,,,,,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2007,,,,,,,,,,,,,,,,,Original,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2009,,,,,,,,,,,,,,,,,Original,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2011,,,,,,,,,,,,,,,,,Original,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2013,264.62,243.75,5.1395,0.917235,91.5,,,,,,91.1,87.5,91.7,97.1,4.7,,Original,,,3,2,Básico,Básico
