Ano,Etapa,Investimento por Estudante,Fonte,Abrangência
2005,Fundamental I,3211.0378226028674,INEP,Brasil
2007,Fundamental I,4227.619036668248,INEP,Brasil
2009,Fundamental I,5495.371426200251,INEP,Brasil
2011,Fundamental I,6501.440648298541,INEP,Brasil
2013,Fundamental I,7378.394331080539,INEP,Brasil
2015,Fundamental I,7137.701168073699,INEP,Brasil
2017,Fundamental I,7134.81216749167,INEP,Brasil
2019,Fundamental I,8936.448057667756,INEP,Brasil
2021,Fundamental I,8375.95148084543,INEP,Brasil
2005,Fundamental II,2987.68347380359,INEP,Brasil
2007,Fundamental II,4462.393448913162,INEP,Brasil
2009,Fundamental II,5737.151193279432,INEP,Brasil
2011,Fundamental II,6518.714988643489,INEP,Brasil
2013,Fundamental II,7297.787802423111,INEP,Brasil
2015,Fundamental II,7118.9544721943375,INEP,Brasil
2017,Fundamental II,6807.302415815443,INEP,Brasil
2019,Fundamental II,8346.767777892543,INEP,Brasil
2021,Fundamental II,8497.711431952957,INEP,Brasil
